id,target,name,location,phone,email,instagram,status,notes
57,realestate,Giorgio Viganò Real Estate,Milano (MI),02 7636151,info@giorgiovigano.com,@giorgio_vigano_real_estate,new,
58,realestate,Berkshire Hathaway HomeServices,Milano (MI),02 8718 8495,info@maggi.it,@berkshirehathawayhs_italy,new,
59,realestate,Coldwell Banker Luxury,Roma (RM),06 321 8355,luxury@coldwellbanker.it,@coldwellbankeritaly,new,
60,realestate,Santandrea Luxury Houses,Milano (MI),02 77551,info@santandrea.it,@santandrealuxury,new,
61,realestate,Luxgallery,Milano (MI),02 8822 5111,info@luxgallery.it,@luxgallery_realestate,new,
62,realestate,Porta Nuova Real Estate,Milano (MI),02 4953 2341,info@portanuovare.it,@portanuova_realestate,new,
63,realestate,Ville di Pregio,Como (CO),031 263111,info@villedipregio.com,@villedipregio_como,new,
64,realestate,Tirelli & Partners,Milano (MI),02 805 1673,info@tirelliandpartners.com,@tirelliandpartners,new,
65,realestate,John Taylor Luxury,Milano (MI),02 8088 6446,milan@john-taylor.com,@johntaylorluxury,new,
66,realestate,Residenze di Pregio,Roma (RM),06 4433 2244,info@residenzedipregio.it,@residenze_di_pregio,new,
67,realestate,Knight Frank Italy,Firenze (FI),055 218456,firenze@knightfrank.it,@knightfrank,new,
68,realestate,Italy Luxury Property,Siena (SI),0577 221155,info@italyluxury.it,@italy_luxury_property,new,
69,realestate,Dimore Storiche,Lucca (LU),0583 490595,info@dimore-storiche.com,@dimorestoriche_realestate,new,
70,realestate,Prestige Property Italy,Venezia (VE),041 520 9005,info@prestigeproperty.it,@prestige_property_italy,new,
71,realestate,Lake Como Luxury Real Estate,Menaggio (CO),0344 32014,info@lakecomo.com,@lakecomoluxury,new,
72,realestate,Stresa Luxury Real Estate,Stresa (VB),0323 31122,info@stresaluxury.com,@stresaluxury,new,
73,realestate,Forte dei Marmi Villas,Forte dei Marmi,0584 89832,info@fortedeimarmivillas.com,@fortedeimarmivillas,new,
74,realestate,Tuscany Sotheby's,Firenze (FI),055 075 1888,tuscany@sothebysrealty.it,@italysothebysrealty,new,
75,realestate,Rome Luxury Homes,Roma (RM),06 6979 7511,info@romeluxuryhomes.com,@romeluxuryhomes,new,
76,realestate,Sardinia Luxury Real Estate,Porto Cervo (SS),0789 906012,sardinia@sothebysrealty.it,@sardinia_luxury_properties,new,
77,realestate,Exclusive Real Estate,Napoli (NA),081 556 7890,info@exclusivere.it,@exclusive_realestate,new,
78,realestate,Ville & Casali RE,Perugia (PG),075 573 0156,info@villeecasali.it,@villeecasali_realestate,new,
79,realestate,Fontana Immobiliare,Monza (MB),039 367151,info@fontanaimmobiliare.it,@fontana_immobiliare,new,
80,realestate,Studio di Pregio,Torino (TO),011 569 2234,info@studiodipregio.it,@studio_di_pregio,new,
81,realestate,Luxer Real Estate,Milano (MI),02 8833 4455,info@luxer.it,@luxer_realestate,new,
82,realestate,Liguria Homes Casamare,Sanremo (IM),0184 574262,info@liguriahomes.com,@liguriahomes,new,
83,realestate,Prestige Real Estate Venice,Venezia (VE),041 528 5037,info@prestigere.it,@prestigerealestatevenice,new,
84,realestate,Maior Capital,Olbia (SS),0789 200122,info@maiorcapital.com,@maiorcapital,new,
85,realestate,RE/MAX Collection Luxury,Milano (MI),02 8050 1245,collection@remax.it,@remaxcollection_italy,new,
86,realestate,Regilla 125,Roma (RM),06 788 1234,info@regilla125.it,@regilla125,new,
87,realestate,Immobiliare San Marco,Venezia (VE),041 520 0111,info@immobiliaresanmarco.it,@immobiliaresanmarco,new,
88,realestate,House & Loft,Milano (MI),02 7601 5740,info@houseloft.com,@houseloft,new,
89,realestate,Palazzo Estate,Como (CO),031 263191,info@palazzoestate.com,@palazzoestate,new,
90,realestate,Dimore d'Elite,Bologna (BO),051 228833,info@dimoredelite.it,@dimore_delite,new,
91,realestate,Great Estate,Cetona (SI),0578 238096,info@greatestate.it,@greatestate_realestate,new,
92,realestate,Abitare di Pregio,Milano (MI),02 4851 2244,info@abitaredipregio.it,@abitare_di_pregio,new,
93,realestate,Dream Homes Lake Como,Bellagio (CO),031 951234,info@dreamhomes.it,@dreamhomes_lakecomo,new,
94,realestate,Cortina Luxury Real Estate,Cortina (BL),0436 861111,info@cortinaluxury.com,@cortinaluxuryrealestate,new,
95,realestate,Luxury Living Italy,Verona (VR),045 801 1133,info@luxuryliving.it,@luxuryliving_italy,new,
96,realestate,Ville del Salento,Lecce (LE),0832 243355,info@villedelsalento.it,@villedelsalentorealestate,new,
97,realestate,Luxury Homes Florence,Firenze (FI),055 234 1122,info@luxuryhomesflorence.com,@luxuryhomesflorence,new,
98,realestate,Dimore di Lusso,Palermo (PA),091 324422,info@dimoredilusso.it,@dimore_di_lusso,new,
99,realestate,Prestige Property Como,Como (CO),031 304411,info@prestigepropertycomo.com,@prestigepropertycomo,new,
100,realestate,Prime Real Estate,Milano (MI),02 8822 7711,info@primere.it,@primerealestate_italy,new,
101,dentisti,Clinica DentalPro Milano,Milano (MI),02 8832 1111,info@dentalpro.it,@dentalpro.it,new,
102,dentisti,Studio Dentistico D'Amelio,Mestre (VE),041 970526,info@studiodamelio.it,@studiodentisticodamelio,new,
103,dentisti,Clinica Odontoiatrica Santa Chiara,Firenze (FI),055 244111,info@clinicasantachiara.it,@clinicasantachiara_odontoiatria,new,
104,dentisti,Studio Cannizzo,Milano (MI),02 783742,info@cannizzo.it,@studiodentisticocannizzo,new,
105,dentisti,Clinica Dentale San Martino,Genova (GE),010 35351,info@clinicasanmartino.it,@clinicasanmartino,new,
106,dentisti,Studio Dentistico Dr. Macaluso,Milano (MI),02 5519 5013,info@studiomacaluso.it,@studiodentisticomacaluso,new,
107,dentisti,Cliniche Dentali Giovanni Bona,Torino (TO),011 562 2211,info@clinichebona.it,@clinichegiovannibona,new,
108,dentisti,Studio Dentistico Vassura,Lodi (LO),0371 428054,info@studiovassura.it,@studiovassura,new,
109,dentisti,Centro Dentale Corbo,Como (CO),031 278341,info@centrodentalecorbo.it,@centrodentalecorbo,new,
110,dentisti,Studio Dentistico Dr. Piana,Bologna (BO),051 347466,info@studiopiana.it,@studiodentisticopiana,new,
111,dentisti,Clinica Dentale Bava,Napoli (NA),081 578 1234,info@clinicabava.it,@clinicadentalebava,new,
112,dentisti,Studio Odontoiatrico Dr. Rossi,Roma (RM),06 4422 1122,info@studiodontoiatricorossi.it,@studiodrrossi,new,
113,dentisti,Clinica Dentale Smart Dental,Bari (BA),080 523 4455,info@smartdental.it,@smartdentalclinic,new,
114,dentisti,Studio Dentistico Aceto,Salerno (SA),089 223344,info@studiodentisticoaceto.it,@studiodentisticoaceto,new,
115,dentisti,Clinica Centri Dentistici Primo,Bologna (BO),051 649 1133,info@dentisticiprimo.it,@centridentisticiprimo,new,
116,dentisti,Studio Dentistico Dr. Giannini,Firenze (FI),055 489312,info@studiogiannini.it,@studiodentisticogiannini,new,
117,dentisti,Clinica Dentale San Cataldo,Lucca (LU),0583 491111,info@clinicasancataldo.it,@clinicasancataldodontoiatria,new,
118,dentisti,Studio Odontoiatrico Dr. Bianchi,Milano (MI),02 8645 2211,info@studiobianchiodontoiatrico.it,@studiobianchiodontoiatrico,new,
119,dentisti,Clinica Dentale Santo Stefano,Prato (PO),0574 443322,info@clinicasantostefano.it,@clinicasantostefano,new,
120,dentisti,Studio Dentistico Dr. Antonelli,Roma (RM),06 808 2234,info@studioantonelli.it,@studiodentisticoantonelli,new,
121,dentisti,Clinica Dentale OdontoSalute,Udine (UD),0432 505050,info@odontosalute.it,@odontosalute_official,new,
122,dentisti,Studio Dentistico Dr. Palermo,Catania (CT),095 443322,info@studiodentisticopalermo.it,@studiodentisticopalermo,new,
123,dentisti,Clinica Dentale Santa Lucia,Palermo (PA),091 625 2233,info@clinicasantalucia.it,@clinicasantalucia,new,
124,dentisti,Studio Dentistico Dr. Fama,Messina (ME),090 717171,info@studiodentisticofama.it,@studiodentisticofama,new,
125,dentisti,Clinica Dentale Dental Class,Verona (VR),045 800 2233,info@dentalclass.it,@dentalclassverona,new,
126,dentisti,Studio Dentistico Dr. Sanna,Cagliari (CA),070 656565,info@studiodentisticosanna.it,@studiodentisticosanna,new,
127,dentisti,Clinica Dentale San Giorgio,Sassari (SS),079 232323,info@clinicasangiorgio.it,@clinicasangiorgiosassari,new,
128,dentisti,Studio Dentistico Dr. Nardi,Perugia (PG),075 500 1122,info@studionardi.it,@studiodentisticonardi,new,
129,dentisti,Clinica Dentale Euganea,Padova (PD),049 875 1122,info@clinicaodontoiatricaeuganea.it,@clinicaeuganea,new,
130,dentisti,Studio Dentistico Dr. Rinaldi,Brescia (BS),030 375 2211,info@studiorinaldi.it,@studiodentisticorinaldi,new,
131,dentisti,Clinica Dentale Dental Unit,Bergamo (BG),035 221144,info@dentalunit.it,@dentalunitbergamo,new,
132,dentisti,Studio Dentistico Dr. Greco,Taranto (TA),099 735 1122,info@studiodentisticogreco.it,@studiodentisticogreco,new,
133,dentisti,Clinica Dentale San Paolo,Reggio Calabria,0965 221133,info@clinicasanpaolo.it,@clinicasanpaoloreggio,new,
134,dentisti,Studio Dentistico Dr. Longo,Lecce (LE),0832 301122,info@studiodentisticolongo.it,@studiodentisticolongo,new,
135,dentisti,Clinica Dentale Dental Care,Foggia (FG),0881 721122,info@dentalcarefoggia.it,@dentalcarefoggia,new,
136,dentisti,Studio Dentistico Dr. Russo,Caserta (CE),0823 351122,info@studiodentisticorusso.it,@studiodentisticorusso,new,
137,dentisti,Clinica Dentale Dents,Pescara (PE),085 421 1122,info@clinica-dents.it,@dents_clinica_odontoiatrica,new,
138,dentisti,Studio Dentistico Dr. Ferri,Latina (LT),0773 661122,info@studioferridentistico.it,@studiodentisticoferri,new,
139,dentisti,Clinica Dentale San Michele,Novara (NO),0321 621122,info@clinicasanmichele.it,@clinicasanmicheledentale,new,
140,dentisti,Studio Dentistico Dr. Bruno,Varese (VA),0332 231122,info@studiodentisticobruno.it,@studiodentisticobruno,new,
141,dentisti,Clinica Dentale Dental Star,Monza (MB),039 230 1122,info@dentalstarmonza.it,@dentalstarmonza,new,
142,dentisti,Studio Dentistico Dr. Costa,Trento (TN),0461 231122,info@studiodentisticocosta.it,@studiodentisticocosta,new,
143,dentisti,Clinica Dentale San Marco,Venezia (VE),041 520 2211,info@clinicasanmarcodentale.it,@clinicasanmarcodentale,new,
144,dentisti,Studio Dentistico Dr. Leone,Parma (PR),0521 281122,info@studiodentisticoleone.it,@studiodentisticoleone,new,
145,dentisti,Clinica Dentale San Carlo,Busto Arsizio,0331 631122,info@clinicasancarlo.it,@clinicasancarlodentale,new,
146,dentisti,Studio Dentistico Dr. Fontana,Modena (MO),059 211122,info@studiodentisticofontana.it,@studiodentisticofontana,new,
147,dentisti,Clinica Dentale Dental Clinic,Reggio Emilia,0522 451122,info@dentalclinicre.it,@dentalclinicreggio,new,
148,dentisti,Studio Dentistico Dr. Gatti,Ravenna (RA),0544 311122,info@studiodentisticogatti.it,@studiodentisticogatti,new,
149,dentisti,Clinica Dentale San Rocco,Como (CO),031 301122,info@clinicasanrocco.it,@clinicasanroccodentale,new,
150,dentisti,Studio Dentistico Dr. Pozzi,Varese (VA),0332 281122,info@studiodentisticopozzi.it,@studiodentisticopozzi,new,
151,hotellerie,Grand Hotel Tremezzo,Tremezzina (CO),0344 42491,info@grandhoteltremezzo.com,@ghtremezzo,new,
152,hotellerie,Hotel Cipriani,Venezia (VE),041 240 801,info.cip@belmond.com,@belmondhotelcipriani,new,
153,hotellerie,Villa d'Este,Cernobbio (CO),031 3481,info@villadeste.it,@villadestelakecomo,new,
154,hotellerie,Belmond Villa San Michele,Fiesole (FI),055 567 8200,info.vsm@belmond.com,@belmondvillasanmichele,new,
155,hotellerie,Il San Pietro di Positano,Positano (SA),089 875455,info@ilsanpietro.it,@ilsanpietrodipositano,new,
156,hotellerie,Borgo Egnazia,Savelletri (BR),080 225 5000,info@borgoegnazia.com,@borgoegnazia,new,
157,hotellerie,Hotel de Russie,Roma (RM),06 328881,info.derussie@roccofortehotels.com,@hotelderussie,new,
158,hotellerie,Mandarin Oriental Lake Como,Blevio (CO),031 32511,mocmo-info@mohg.com,@mo_lakecomo,new,
159,hotellerie,Hotel Splendido Belmond,Portofino (GE),0185 267801,info.spl@belmond.com,@belmondhotelsplendido,new,
160,hotellerie,Le Sirenuse,Positano (SA),089 875066,info@sirenuse.it,@lesirenuse,new,
161,hotellerie,Hotel Danieli,Venezia (VE),041 526 3111,info@hoteldanieli.com,@hoteldanielivenice,new,
162,hotellerie,Portrait Firenze,Firenze (FI),055 2726 8000,portraitfirenze@lungarnocollection.com,@portraitfirenze,new,
163,hotellerie,JK Place Roma,Roma (RM),06 982 634,info@jkroma.com,@jkplaceroma,new,
164,hotellerie,Aman Venice,Venezia (VE),041 270 7333,amanvenice@aman.com,@aman_venice,new,
165,hotellerie,Hotel Cala di Volpe,Porto Cervo (SS),0789 976111,caladivolpe@marriott.com,@caladivolpe,new,
166,hotellerie,Capri Palace Jumeirah,Anacapri (NA),081 978 0111,info@capripalace.com,@capripalace,new,
167,hotellerie,Grand Hotel Timeo,Taormina (ME),0942 627 0200,info.ght@belmond.com,@belmondgrandhoteltimeo,new,
168,hotellerie,Forestis Dolomites,Bressanone (BZ),0472 521008,info@forestis.it,@forestis,new,
169,hotellerie,Castel Monastero,Castelnuovo Ber.,0577 570001,info@castelmonastero.com,@castel_monastero,new,
170,hotellerie,Mezzatorre Hotel & Thermal Spa,Lacco Ameno (NA),081 986111,info@mezzatorre.it,@mezzatorrehotel,new,
171,hotellerie,Villa Igiea Rocco Forte,Palermo (PA),091 630 3111,info.villaigiea@roccofortehotels.com,@villaigieapalermo,new,
172,hotellerie,Lefay Resort & Spa Lago di Garda,Gargnano (BS),0365 241800,reservation@lefayresorts.com,@lefayresorts,new,
173,hotellerie,Hotel Gritti Palace,Venezia (VE),041 794611,grittipalace@luxurycollection.com,@thegrittipalace,new,
174,hotellerie,Rosewood Castiglion del Bosco,Montalcino (SI),0577 1913001,cdelbosco@rosewoodhotels.com,@rwcastigliondelbosco,new,
175,hotellerie,Hotel Hassler,Roma (RM),06 699340,info@hotelhassler.it,@hotelhasslerroma,new,
176,hotellerie,Grand Hotel Excelsior Vittoria,Sorrento (NA),081 877 7111,info@exvitt.it,@gh_excelsior_vittoria,new,
177,hotellerie,Palazzo Avino,Ravello (SA),089 818181,info@palazzoavino.com,@palazzoavino,new,
178,hotellerie,Hotel Eden Rocco Forte,Roma (RM),06 478121,info.eden@roccofortehotels.com,@hoteledenroma,new,
179,hotellerie,Villa d'Amelia,Benevello (CN),0173 529225,info@villadamelia.com,@villadamelia,new,
180,hotellerie,San Domenico Palace Taormina,Taormina (ME),0942 613111,sandomenico@fourseasons.com,@fstaormina,new,
181,hotellerie,Excelsior Hotel Gallia,Milano (MI),02 67851,excelsior.gallia@luxurycollection.com,@excelsiorhotelgallia,new,
182,hotellerie,Adler Spa Resort Thermae,San Quirico d'Orcia,0577 889 001,info@adler-thermae.com,@adler_spa_resorts,new,
183,hotellerie,Bulgari Hotel Milano,Milano (MI),02 805 8051,milano@bulgarihotels.com,@bulgarihotels,new,
184,hotellerie,Grand Hotel Miramare,Santa Margherita,0185 287013,miramare@grandhotelmiramare.it,@ghmiramare,new,
185,hotellerie,Therasia Resort,Vulcano (ME),090 9852230,info@therasiaresort.it,@therasiaresort,new,
186,hotellerie,Palazzo Parigi Hotel & Spa,Milano (MI),02 625 625,reservations@palazzoparigi.com,@palazzoparigi,new,
187,hotellerie,Villa La Massa,Candeli (FI),055 62611,info@villalamassa.it,@villalamassafirenze,new,
188,hotellerie,Hotel Caruso,Ravello (SA),089 858801,info.car@belmond.com,@belmondhotelcaruso,new,
189,hotellerie,Falisia Resort & Spa,Duino-Aurisina,040 997 4444,info@falisiaresort.com,@falisiaresort,new,
190,hotellerie,Castadiva Resort,Blevio (CO),031 32511,info@castadivaresort.com,@mo_lakecomo,new,
191,hotellerie,L'Albereta Relais & Chateaux,Erbusco (BS),030 7760550,info@albereta.it,@lalbereta,new,
192,hotellerie,Grand Hotel Parker's,Napoli (NA),081 761 2474,info@grandhotelparkers.it,@grandhotelparkers,new,
193,hotellerie,Hotel Santa Caterina,Amalfi (SA),089 871012,info@hotelsantacaterina.it,@hotelsantacaterina,new,
194,hotellerie,Argentario Golf Wellness Resort,Porto Ercole (GR),0564 810292,info@argentarioresort.it,@argentariogolfresort,new,
195,hotellerie,Grand Hotel Fasano,Gardone Riviera,0365 290220,info@ghf.it,@grandhotelfasano,new,
196,hotellerie,Borgo Santo Pietro,Chiusdino (SI),0577 751222,info@borgosantopietro.com,@borgosantopietro,new,
197,hotellerie,Hotel Locarno,Roma (RM),06 361 0841,info@hotellocarno.com,@hotellocarnoroma,new,
198,hotellerie,Grand Hotel Majestic Gia Baglioni,Bologna (BO),051 225445,info.majestic@duetorrihotels.com,@grandhotelmajestic,new,
199,hotellerie,Villa Cora,Firenze (FI),055 228790,info@villacora.it,@villacorafirenze,new,
200,hotellerie,Hotel Splendide Royal,Roma (RM),06 421681,info@splendideroyal.com,@splendideroyalroma,new,
201,estetica,Dr.ssa Maria Stella Tarico,Catania (CT),095 531333,info@taricoclinic.com,@dr.ssa_tarico_chirurgia,new,
202,estetica,Clinica Biorigene,Catania (CT),095 220 0811,info@biorigene.com,@biorigene_clinic,new,
203,estetica,Dr. Alfio Musumeci,Acireale (CT),095 607833,info@dralfiomusumeci.it,@dr.alfiomusumeci,new,
204,estetica,Aetnea Medical Center,Catania (CT),095 375466,info@aetneamedical.it,@aetneamedicalcenter,new,
205,estetica,Dr.ssa Maria Grazia D'Agata,Mascalucia (CT),095 727 3411,info@mariagraziadagata.it,@dr.mariagraziadagata,new,
206,estetica,Centro Medico Catanese,Catania (CT),095 442211,info@centromedicocatanese.it,@centromedicocatanese,new,
207,estetica,Dr. Salvatore Ronsisvalle,Catania (CT),095 507844,info@drsalvatoreronsisvalle.it,@dr.salvatoreronsisvalle,new,
208,estetica,Clinica D'Amore,Catania (CT),095 491133,info@clinicadamore.it,@clinica_damore_estetica,new,
209,estetica,Dr. Hector Valenzuela,Catania (CT),095 715 2234,info@drvalenzuela.it,@dr_hector_valenzuela,new,
210,estetica,Dr.ssa Laura Sciacca,San Giovanni la Punta (CT),348 7654321,info@laurasciacca.it,@dr.ssa_laura_sciacca,new,
211,estetica,Ageless Clinic,Catania (CT),095 293344,info@agelessclinic.it,@ageless_clinic_catania,new,
212,estetica,Dr. Giuseppe Maria Messina,Catania (CT),095 383211,info@giuseppemessina.it,@dr.giuseppemessina,new,
213,estetica,Clinica Villa Salus,Catania (CT),095 311144,info@villasaluscatania.it,@villasalus_catania,new,
214,estetica,Dr. Gianluca Barbagallo,Aci Castello (CT),095 271122,info@gianlucabarbagallo.it,@dr.gianlucabarbagallo,new,
215,estetica,MedEst Catania,Catania (CT),095 722 5544,info@medest.it,@medest_catania,new,
216,estetica,Dr.ssa Chiara Cannavò,Catania (CT),095 502211,info@chiaracannavo.it,@dr.ssa_chiara_cannavo,new,
217,estetica,Clinica Morgagni Estetica,Catania (CT),095 238111,info@morgagniestetica.it,@clinica_morgagni,new,
218,estetica,Dr. Sergio Pardo,Giarre (CT),095 931122,info@drsergiopardo.it,@dr.sergio_pardo,new,
219,estetica,Centro Medico Le Zagare,San Giovanni la Punta (CT),095 741 2233,info@centromedicozagare.it,@centromedico_lezagare,new,
220,estetica,Dr. Marco Leonardi,Catania (CT),095 448822,info@marcoleonardi.it,@dr.marcoleonardi,new,
221,estetica,Skin & Co,Catania (CT),095 836 2244,info@skinandco.it,@skin_and_co_catania,new,
222,estetica,Dr.ssa Roberta Grasso,Catania (CT),095 504433,info@robertagrasso.it,@dr.ssa_robertagrasso,new,
223,estetica,Clinica Athena,Catania (CT),095 716 3311,info@clinicaathena.it,@clinica_athena_catania,new,
224,estetica,Dr. Valerio Ramieri,Catania (CT),095 532211,info@valerioramieri.it,@dr.valerioramieri,new,
225,estetica,Medis Clinic,Catania (CT),095 220 3344,info@medisclinic.it,@medis_clinic_catania,new,
226,estetica,Dr.ssa Veronica Trovato,Acireale (CT),095 764433,info@veronicatrovato.it,@dr.ssa_veronicatrovato,new,
227,estetica,Centro Medicina Estetica Jonio,Riposto (CT),095 779 1122,info@medicinaesteticajonio.it,@medicina_estetica_jonio,new,
228,estetica,Dr. Francesco Zappalà,Catania (CT),095 383844,info@francescozappala.it,@dr.francesco_zappala,new,
229,estetica,Clinica Villa dei Gerani,Catania (CT),095 330222,info@villadeigerani.it,@clinicavilladeigerani,new,
230,estetica,Dr.ssa Agata Scuderi,Misterbianco (CT),095 464622,info@agatascuderi.it,@dr.ssa_agata_scuderi,new,
231,estetica,Aesthetic Center Catania,Catania (CT),095 506070,info@aestheticcenter.it,@aesthetic_center_catania,new,
232,estetica,Dr. Giuseppe Castiglione,Catania (CT),095 441122,info@giuseppecastiglione.it,@dr.giuseppecastiglione,new,
233,estetica,Clinica Medilaser Catania,Catania (CT),095 372233,info@medilasercatania.it,@medilaser_catania_clinic,new,
234,estetica,Dr. Orazio Condorelli,Catania (CT),095 533445,info@oraziocondorelli.it,@dr.oraziocondorelli,new,
